,,,,,,,,,,,,,,,,,,,
30,ea,28,00,1f,fc,7b,0,ff,ff,e2,ff,2,0,8d,1,1,1,a0,1
36,ea,27,00,1f,fc,7c,0,ff,ff,e2,ff,2,0,8c,1,3,1,a9,1
3c,ea,27,00,1f,fc,7c,0,fe,ff,e2,ff,2,0,87,1,0,1,a4,1
42,ea,27,00,1e,fc,7b,0,fe,ff,e2,ff,2,0,86,1,f7,0,a1,1
49,ea,27,00,20,fc,7b,0,ff,ff,e2,ff,2,0,89,1,9,1,a7,1
4f,ea,27,00,1f,fc,7c,0,fe,ff,e3,ff,3,0,89,1,0,1,af,1
55,ea,27,00,1d,fc,7c,0,ff,ff,e2,ff,2,0,81,1,1,1,af,1
5b,ea,27,00,1e,fc,7b,0,ff,ff,e2,ff,2,0,8f,1,4,1,a3,1
62,ea,26,00,1f,fc,7a,0,ff,ff,e2,ff,3,0,8c,1,4,1,ac,1
68,ea,26,00,1f,fc,7b,0,fe,ff,e2,ff,2,0,7e,1,3,1,a6,1
6e,ea,28,00,1e,fc,7a,0,fe,ff,e2,ff,2,0,87,1,fd,0,aa,1
74,ea,28,00,1f,fc,7b,0,fe,ff,e2,ff,2,0,89,1,fa,0,a7,1
7b,ea,27,00,1f,fc,7b,0,fe,ff,e2,ff,2,0,8c,1,3,1,a7,1
81,ea,27,00,1f,fc,7b,0,ff,ff,e2,ff,2,0,84,1,f8,0,b2,1
87,ea,26,00,1e,fc,7a,0,fe,ff,e2,ff,2,0,8f,1,1,1,ac,1
8d,ea,26,00,1f,fc,7b,0,fe,ff,e2,ff,2,0,87,1,fe,0,ac,1
94,ea,27,00,1f,fc,7b,0,ff,ff,e2,ff,2,0,86,1,6,1,a9,1
9a,ea,28,00,1f,fc,7c,0,fe,ff,e2,ff,3,0,8a,1,0,1,ac,1
a0,ea,27,00,20,fc,7d,0,ff,ff,e2,ff,2,0,8c,1,0,1,af,1
a6,ea,27,00,20,fc,7a,0,fe,ff,e2,ff,2,0,92,1,fb,0,aa,1
ad,ea,27,00,1f,fc,7c,0,ff,ff,e3,ff,2,0,89,1,3,1,a7,1
b3,ea,27,00,1f,fc,7a,0,fe,ff,e2,ff,2,0,8f,1,1,1,ad,1
b9,ea,27,00,1f,fc,7b,0,ff,ff,e2,ff,2,0,8d,1,fe,0,aa,1
bf,ea,27,00,1e,fc,7a,0,fe,ff,e2,ff,3,0,83,1,1,1,a6,1
c6,ea,28,00,1e,fc,7c,0,fe,ff,e2,ff,2,0,89,1,6,1,a7,1
cc,ea,26,00,1f,fc,7b,0,fe,ff,e2,ff,2,0,92,1,3,1,a9,1
d2,ea,27,00,1e,fc,7b,0,fe,ff,e2,ff,3,0,84,1,fb,0,a9,1
d8,ea,27,00,1f,fc,7c,0,ff,ff,e1,ff,2,0,8a,1,3,1,a9,1
df,ea,26,00,1f,fc,7c,0,fe,ff,e2,ff,2,0,90,1,f8,0,ac,1
